trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.76122128179784,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.95}",30,12,-79.62813935229646,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.9}",25,0,-90.83822911071134,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.85}",20,0,-123.19510639832392,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.8}",20,0,-96.88453196106232,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.75}",20,8,-88.98484336987713,"{0: 7, 1: 0, 2: 2, 3: 2, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.7}",35,0,-132.6184440595886,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999999}",20,7,-74.94155112623886,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.6}",25,0,-61.449926026810026,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.55}",20,9,-55.20507935489231,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.5}",20,0,-20.98210165977266,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",25,0,-106.96042671487425,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.3999999999999999}",20,0,-92.5024326822802,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.35}",20,0,-44.52289988538211,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999993}",20,4,-9.632585126565846,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.25}",20,8,-0.7846215402187839,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",25,11,4.65409021078483,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999999}",20,8,6.936757179482236,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",20,12,16.350838139440498,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.04999999999999993}",20,0,25.590628612006313,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,6,27.60807104734057,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,10,23.319031451883014,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,13.22910211758295,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,36.14854437233218,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,22,9.862388413620018,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,22,16.711597043752345,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,14,8.730181599398326,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,8.236438759184738,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,28.77464646093856,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,6,-52.154315745144444,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
