trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 1.0}",25,0,-112.4550828197934,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.99}",20,0,-27.773526684546553,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.997004495503373, 'e': 0.9801}",20,0,-141.99857796151198,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.9960079893439915, 'e': 0.970299}",25,0,-40.89083828844649,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.96059601}",25,0,-131.4068109361432,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.9940179640539353, 'e': 0.9509900498999999}",20,0,-230.69855282463365,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 5}",0
7,False,"{'a': 0.9930244429332351, 'e': 0.941480149401}",30,14,-98.42797956407904,"{0: 7, 1: 2, 2: 6, 3: 0, 4: 1}",1
8,False,"{'a': 0.9920319148370607, 'e': 0.9320653479069899}",20,0,1.5072796920265266,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9227446944279201}",20,0,-129.6121340094526,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9135172474836408}",20,0,-30.901593654649616,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.9890602787753687, 'e': 0.9043820750088044}",25,11,-43.80692991434521,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 0}",1
12,False,"{'a': 0.9880717128619305, 'e': 0.8953382542587164}",20,0,-116.59339151236303,"{0: 8, 1: 3, 2: 7, 3: 2, 4: 0}",0
13,False,"{'a': 0.9870841350202876, 'e': 0.8863848717161292}",25,9,-36.330268283662065,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.9860975442628619, 'e': 0.8775210229989678}",25,0,-116.71719708917838,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.9851119396030626, 'e': 0.8687458127689782}",20,0,-134.42932405173593,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
16,False,"{'a': 0.9841273200552851, 'e': 0.8600583546412884}",20,0,-20.712675939666834,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.9831436846349096, 'e': 0.8514577710948755}",20,0,-117.0143208226616,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.9821610323583008, 'e': 0.8429431933839268}",20,0,-144.88926405240383,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.981179362242806, 'e': 0.8345137614500875}",25,0,-149.42312318157374,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
20,False,"{'a': 0.9801986733067553, 'e': 0.8261686238355866}",25,0,-94.12516238684609,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.9792189645694596, 'e': 0.8179069375972308}",20,13,-22.413171058525094,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.97824023505121, 'e': 0.8097278682212584}",20,0,-109.66492716672606,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
23,False,"{'a': 0.9772624837732771, 'e': 0.8016305895390459}",20,0,-115.99323062049211,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
24,False,"{'a': 0.9762857097579093, 'e': 0.7936142836436554}",30,10,-100.14391868130998,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",1
25,False,"{'a': 0.9753099120283326, 'e': 0.7856781408072188}",30,0,-106.2478781567506,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.9743350896087494, 'e': 0.7778213593991467}",20,0,-51.12169904217346,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.9733612415243368, 'e': 0.7700431458051551}",25,0,-115.87099376762893,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.9723883668012469, 'e': 0.7623427143471035}",20,0,1.3226565268643737,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
29,False,"{'a': 0.9714164644666048, 'e': 0.7547192872036326}",20,0,-40.9907671233302,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
30,False,"{'a': 0.9704455335485082, 'e': 0.7471720943315961}",25,0,-84.76312117525899,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
31,False,"{'a': 0.9694755730760259, 'e': 0.7397003733882802}",25,12,-10.753780040981342,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
32,False,"{'a': 0.9685065820791976, 'e': 0.7323033696543975}",25,2,-97.75636045962324,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 2}",1
33,False,"{'a': 0.967538559589032, 'e': 0.7249803359578534}",25,2,-129.3647449807471,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 2}",1
34,False,"{'a': 0.9665715046375066, 'e': 0.7177305325982749}",20,1,-5.591007065673526,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
35,False,"{'a': 0.9656054162575665, 'e': 0.7105532272722921}",25,4,-13.957750931001167,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.9646402934831231, 'e': 0.7034476949995692}",25,0,-143.84707367000487,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
37,False,"{'a': 0.9636761353490535, 'e': 0.6964132180495735}",25,0,-80.47290687663939,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
38,False,"{'a': 0.9627129408911995, 'e': 0.6894490858690777}",30,12,-61.68453980008004,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
39,False,"{'a': 0.9617507091463667, 'e': 0.682554595010387}",20,2,-98.05282439980564,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 2}",1
40,False,"{'a': 0.9607894391523232, 'e': 0.6757290490602831}",20,14,-10.68017203965993,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.9598291299477989, 'e': 0.6689717585696803}",30,0,-50.904789658883935,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.9588697805724845, 'e': 0.6622820409839835}",30,0,-146.71099788361113,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
43,False,"{'a': 0.9579113900670306, 'e': 0.6556592205741436}",25,13,-26.34346310356291,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
44,False,"{'a': 0.9569539574730467, 'e': 0.6491026283684022}",30,0,-14.446091567400424,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
45,False,"{'a': 0.9559974818331, 'e': 0.6426116020847181}",30,0,-129.85655004883623,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.9550419621907147, 'e': 0.6361854860638709}",20,0,-88.89773546651577,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
47,False,"{'a': 0.9540873975903711, 'e': 0.6298236312032323}",30,13,-133.40905529945456,"{0: 10, 1: 2, 2: 0, 3: 3, 4: 2}",1
48,False,"{'a': 0.9531337870775047, 'e': 0.6235253948912}",20,0,-43.67224086071028,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.9521811296985049, 'e': 0.617290140942288}",30,0,-86.90004027239439,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
50,False,"{'a': 0.951229424500714, 'e': 0.611117239532865}",20,0,-41.15270016636389,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.950278670532427, 'e': 0.6050060671375364}",20,0,-96.77536284351247,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
52,False,"{'a': 0.9493288668428895, 'e': 0.598956006466161}",25,0,-104.43526017018381,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
53,False,"{'a': 0.9483800124822982, 'e': 0.5929664464014994}",30,0,-61.93400120887638,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.9474321065017983, 'e': 0.5870367819374844}",20,2,-17.428473143348434,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.9464851479534838, 'e': 0.5811664141181095}",20,6,-31.31516979984689,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.9455391358903963, 'e': 0.5753547499769285}",20,7,10.975502316708909,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.9445940693665233, 'e': 0.5696012024771592}",25,0,-58.03681501575626,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.9436499474367985, 'e': 0.5639051904523875}",20,0,-24.86648608831728,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
59,False,"{'a': 0.9427067691570997, 'e': 0.5582661385478637}",30,0,-94.58617057640977,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
60,False,"{'a': 0.9417645335842487, 'e': 0.5526834771623851}",30,0,-94.00967134561812,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
61,False,"{'a': 0.9408232397760097, 'e': 0.5471566423907612}",25,0,-77.09849243369158,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 0.9398828867910889, 'e': 0.5416850759668536}",25,9,-28.63933204503894,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.9389434736891332, 'e': 0.536268225207185}",20,16,8.132636668947232,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.9380049995307295, 'e': 0.5309055429551132}",25,0,-22.565326625322708,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.9370674633774034, 'e': 0.525596487525562}",20,0,-103.82522953508742,"{0: 11, 1: 6, 2: 1, 3: 0, 4: 2}",0
66,False,"{'a': 0.9361308642916188, 'e': 0.5203405226503064}",20,0,-120.72697828386468,"{0: 13, 1: 0, 2: 2, 3: 4, 4: 1}",0
67,False,"{'a': 0.9351952013367766, 'e': 0.5151371174238033}",25,0,-231.79715533084195,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 5}",0
68,False,"{'a': 0.9342604735772135, 'e': 0.5099857462495653}",25,14,-5.129610260779744,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
69,False,"{'a': 0.933326680078202, 'e': 0.5048858887870696}",20,4,-59.36000176736482,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
70,False,"{'a': 0.9323938199059483, 'e': 0.4998370298991989}",30,2,-59.22804250730715,"{0: 21, 1: 4, 2: 1, 3: 1, 4: 1}",1
71,False,"{'a': 0.9314618921275921, 'e': 0.49483865960020695}",20,5,-37.24817316334857,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.9305308958112057, 'e': 0.4898902730042049}",30,18,-49.81013365078312,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
