trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-193.5077124074723,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-263.0853511882453,"{0: 9, 1: 2, 2: 10, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.14118095403487,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.0572507946239,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.67698908847818,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.37133659736406,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-198.34204793481544,"{0: 21, 1: 4, 2: 6, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.47546585924366,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.24653997326536,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-256.75260320791995,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.48380277495366,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,1,-147.14302112751454,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-201.3762720877488,"{0: 20, 1: 4, 2: 7, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.22186401237541,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-237.07079635440718,"{0: 25, 1: 2, 2: 1, 3: 2, 4: 5}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.905051290584915,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.24187918992777,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.91273218934302,"{0: 11, 1: 2, 2: 7, 3: 4, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.48446594807581,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,8,-132.75230616411253,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.23894118270263,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-192.03521879129096,"{0: 8, 1: 2, 2: 5, 3: 3, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-160.13169770472257,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.33798828155562,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-82.71435064787688,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-168.26121301557708,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.45897620972372,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.71484104636772,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.51202418793986,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,6,-40.06280914682165,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 0}",1
